"timestamp","A","B","C","q1_yesno","which","both"
"2025-11-05 14:44:53","Plate007/008002.zip","Plate007/010013.zip","Plate008/004004.zip","yes","both","equal"
"2025-11-05 14:46:24","Plate001/004009.zip","Plate009/009018.zip","Plate007/004023.zip","yes","both","different"
"2025-11-05 14:46:30","Plate004/016020.zip","Plate002/014012.zip","Plate009/005022.zip","no","",""
"2025-11-05 14:46:37","Plate001/001017.zip","Plate007/013009.zip","Plate008/004001.zip","yes","both","different"
"2025-11-05 14:46:43","Plate007/015020.zip","Plate007/012019.zip","Plate002/013016.zip","no","",""
"2025-11-05 14:46:50","Plate003/015005.zip","Plate005/001001.zip","Plate008/013019.zip","no","",""
"2025-11-05 14:46:54","Plate004/001021.zip","Plate006/011020.zip","Plate003/011012.zip","no","",""
"2025-11-05 14:47:06","Plate009/015003.zip","Plate009/011021.zip","Plate009/002002.zip","no","",""
"2025-11-05 14:47:11","Plate001/016010.zip","Plate003/016010.zip","Plate003/006012.zip","no","",""
"2025-11-05 14:47:19","Plate005/006019.zip","Plate004/016019.zip","Plate006/004019.zip","no","",""
"2025-11-05 14:47:26","Plate001/013014.zip","Plate009/007012.zip","Plate009/009001.zip","yes","C",""
"2025-11-05 14:47:29","Plate008/015019.zip","Plate005/005009.zip","Plate003/016024.zip","no","",""
"2025-11-05 14:47:38","Plate009/015019.zip","Plate001/010006.zip","Plate006/013007.zip","no","",""
"2025-11-05 14:47:42","Plate007/007019.zip","Plate009/008009.zip","Plate001/015014.zip","no","",""
"2025-11-05 14:47:48","Plate008/011012.zip","Plate008/006005.zip","Plate007/004024.zip","yes","C",""
"2025-11-05 14:47:53","Plate008/016009.zip","Plate007/001001.zip","Plate008/009013.zip","no","",""
"2025-11-05 14:47:57","Plate006/004019.zip","Plate001/001004.zip","Plate009/005014.zip","no","",""
"2025-11-05 14:48:02","Plate008/005014.zip","Plate001/008007.zip","Plate009/013004.zip","no","",""
"2025-11-05 14:48:05","Plate004/007006.zip","Plate006/013007.zip","Plate009/001019.zip","no","",""
"2025-11-05 14:48:08","Plate001/005013.zip","Plate006/011018.zip","Plate002/015018.zip","no","",""
"2025-11-05 14:48:21","Plate002/002016.zip","Plate008/009023.zip","Plate001/007002.zip","yes","both","equal"
"2025-11-05 14:48:25","Plate001/007005.zip","Plate002/006018.zip","Plate006/011009.zip","no","",""
"2025-11-05 14:48:29","Plate007/001018.zip","Plate007/008018.zip","Plate009/007006.zip","no","",""
"2025-11-05 14:48:33","Plate005/005012.zip","Plate003/004004.zip","Plate003/010021.zip","no","",""
"2025-11-05 14:48:36","Plate001/005016.zip","Plate005/016020.zip","Plate007/015004.zip","no","",""
"2025-11-05 14:48:39","Plate006/002006.zip","Plate006/016022.zip","Plate007/002004.zip","no","",""
"2025-11-05 14:48:42","Plate002/013011.zip","Plate002/016020.zip","Plate006/012010.zip","no","",""
"2025-11-05 14:48:45","Plate009/014003.zip","Plate001/004015.zip","Plate009/002019.zip","no","",""
"2025-11-05 14:48:47","Plate008/014019.zip","Plate003/010019.zip","Plate008/009014.zip","no","",""
"2025-11-05 14:48:55","Plate009/012024.zip","Plate002/012013.zip","Plate006/014009.zip","yes","both","equal"
"2025-11-05 14:49:06","Plate002/011016.zip","Plate002/001004.zip","Plate003/004023.zip","yes","C",""
"2025-11-05 14:49:11","Plate003/006007.zip","Plate005/005024.zip","Plate002/015005.zip","yes","B",""
"2025-11-05 14:49:15","Plate003/007003.zip","Plate009/010005.zip","Plate003/016023.zip","no","",""
"2025-11-05 14:49:27","Plate009/003022.zip","Plate001/006002.zip","Plate007/014024.zip","yes","both","equal"
"2025-11-05 14:54:58","Plate006/001008.zip","Plate002/008019.zip","Plate004/005018.zip","no","",""
"2025-11-05 14:55:02","Plate003/003022.zip","Plate005/002018.zip","Plate007/010009.zip","no","",""
"2025-11-05 14:55:10","Plate004/014017.zip","Plate008/011016.zip","Plate005/009016.zip","no","",""
"2025-11-05 14:55:15","Plate003/002008.zip","Plate006/003003.zip","Plate007/006008.zip","no","",""
"2025-11-05 14:55:19","Plate002/012004.zip","Plate006/001014.zip","Plate004/014002.zip","no","",""
"2025-11-05 14:55:26","Plate001/012008.zip","Plate004/012019.zip","Plate006/003005.zip","no","",""
"2025-11-05 14:55:29","Plate008/001020.zip","Plate001/009016.zip","Plate008/009012.zip","no","",""
"2025-11-05 14:55:33","Plate005/010011.zip","Plate007/005008.zip","Plate006/012009.zip","no","",""
"2025-11-05 14:55:42","Plate004/007010.zip","Plate006/015001.zip","Plate006/015022.zip","yes","B",""
"2025-11-05 14:55:47","Plate002/014022.zip","Plate007/001003.zip","Plate007/014012.zip","no","",""
"2025-11-05 14:55:54","Plate006/011007.zip","Plate006/003004.zip","Plate006/001013.zip","no","",""
"2025-11-05 14:55:59","Plate008/015005.zip","Plate003/005004.zip","Plate008/004015.zip","no","",""
"2025-11-05 14:56:02","Plate008/006022.zip","Plate002/007003.zip","Plate007/015011.zip","no","",""
"2025-11-05 14:56:10","Plate007/009002.zip","Plate008/003008.zip","Plate007/001013.zip","yes","both","equal"
"2025-11-05 14:56:13","Plate004/004019.zip","Plate001/013015.zip","Plate001/002010.zip","no","",""
"2025-11-05 14:56:18","Plate003/001024.zip","Plate009/005020.zip","Plate002/012013.zip","no","",""
"2025-11-05 14:56:21","Plate007/005013.zip","Plate009/015012.zip","Plate001/006017.zip","no","",""
"2025-11-05 14:56:23","Plate007/005016.zip","Plate002/003015.zip","Plate002/011013.zip","no","",""
"2025-11-05 14:56:30","Plate001/010007.zip","Plate009/012011.zip","Plate004/010015.zip","no","",""
"2025-11-05 14:56:33","Plate007/016016.zip","Plate008/007014.zip","Plate008/014004.zip","no","",""
"2025-11-05 14:56:36","Plate003/001006.zip","Plate001/005017.zip","Plate003/016023.zip","no","",""
"2025-11-05 14:56:39","Plate009/003020.zip","Plate006/004016.zip","Plate001/003016.zip","no","",""
"2025-11-05 14:56:43","Plate009/014008.zip","Plate008/006018.zip","Plate006/009018.zip","no","",""
"2025-11-05 14:56:47","Plate008/008018.zip","Plate008/002001.zip","Plate008/011021.zip","no","",""
"2025-11-05 14:56:50","Plate004/010015.zip","Plate008/016023.zip","Plate003/003008.zip","no","",""
"2025-11-05 14:56:53","Plate007/015019.zip","Plate005/012015.zip","Plate009/008006.zip","no","",""
"2025-11-05 14:57:03","Plate003/002001.zip","Plate006/006020.zip","Plate007/009016.zip","yes","both","equal"
"2025-11-05 14:57:16","Plate009/015018.zip","Plate004/010008.zip","Plate005/002019.zip","no","",""
"2025-11-05 14:57:27","Plate004/004006.zip","Plate002/002013.zip","Plate004/016010.zip","yes","B",""
"2025-11-05 14:57:34","Plate002/005001.zip","Plate005/006020.zip","Plate007/001005.zip","yes","both","equal"
"2025-11-05 14:57:38","Plate006/012011.zip","Plate008/006022.zip","Plate007/006015.zip","no","",""
"2025-11-05 14:57:41","Plate004/008018.zip","Plate002/013016.zip","Plate002/010016.zip","no","",""
"2025-11-05 14:57:48","Plate009/006024.zip","Plate005/001024.zip","Plate004/002009.zip","yes","both","equal"
"2025-11-05 14:57:53","Plate005/012022.zip","Plate002/010007.zip","Plate004/015003.zip","no","",""
"2025-11-05 14:58:01","Plate002/015018.zip","Plate001/001012.zip","Plate007/002004.zip","no","",""
"2025-11-05 14:58:06","Plate006/012017.zip","Plate005/004001.zip","Plate007/004008.zip","yes","B",""
"2025-11-05 14:58:11","Plate007/011021.zip","Plate006/011014.zip","Plate006/013018.zip","no","",""
"2025-11-05 14:58:18","Plate001/007004.zip","Plate008/002007.zip","Plate001/013013.zip","no","",""
"2025-11-05 14:58:25","Plate008/005001.zip","Plate003/001022.zip","Plate006/009004.zip","yes","both","equal"
"2025-11-05 14:58:30","Plate005/002005.zip","Plate004/004015.zip","Plate007/007005.zip","no","",""
"2025-11-05 14:58:35","Plate006/013023.zip","Plate006/016005.zip","Plate008/012006.zip","no","",""
"2025-11-05 14:58:41","Plate008/015013.zip","Plate002/016022.zip","Plate008/006002.zip","yes","C",""
"2025-11-05 14:58:52","Plate006/003019.zip","Plate002/001024.zip","Plate003/013024.zip","yes","C",""
"2025-11-05 14:58:58","Plate007/009016.zip","Plate007/009024.zip","Plate005/002020.zip","yes","B",""
"2025-11-05 14:59:06","Plate001/010017.zip","Plate005/003012.zip","Plate004/014009.zip","no","",""
"2025-11-05 14:59:13","Plate008/004018.zip","Plate003/009008.zip","Plate009/004015.zip","yes","B",""
"2025-11-05 14:59:16","Plate003/009004.zip","Plate004/001005.zip","Plate003/007007.zip","no","",""
"2025-11-05 14:59:23","Plate007/010014.zip","Plate002/004019.zip","Plate007/011008.zip","no","",""
"2025-11-05 14:59:26","Plate008/004010.zip","Plate002/013005.zip","Plate002/005013.zip","no","",""
"2025-11-05 14:59:31","Plate009/001009.zip","Plate002/007002.zip","Plate006/002012.zip","yes","B",""
"2025-11-05 14:59:37","Plate003/004024.zip","Plate007/013013.zip","Plate007/005021.zip","yes","both","equal"
"2025-11-05 14:59:42","Plate001/011008.zip","Plate004/003023.zip","Plate005/015015.zip","yes","B",""
"2025-11-05 14:59:47","Plate002/015012.zip","Plate008/012006.zip","Plate003/002008.zip","no","",""
"2025-11-05 14:59:51","Plate005/011019.zip","Plate001/006022.zip","Plate001/011017.zip","no","",""
"2025-11-05 14:59:54","Plate006/010008.zip","Plate004/005007.zip","Plate002/001024.zip","no","",""
"2025-11-05 14:59:58","Plate003/013005.zip","Plate004/015020.zip","Plate008/001023.zip","no","",""
"2025-11-05 15:00:01","Plate009/010021.zip","Plate008/008007.zip","Plate004/004009.zip","no","",""
"2025-11-05 15:00:06","Plate007/008012.zip","Plate009/009024.zip","Plate002/008016.zip","yes","B",""
"2025-11-05 15:00:11","Plate008/011018.zip","Plate007/005020.zip","Plate006/006002.zip","yes","C",""
"2025-11-05 15:00:15","Plate003/002008.zip","Plate009/007014.zip","Plate005/004008.zip","no","",""
"2025-11-05 15:00:19","Plate002/007021.zip","Plate007/013014.zip","Plate005/012009.zip","no","",""
"2025-11-05 15:00:23","Plate001/002002.zip","Plate008/007024.zip","Plate005/006004.zip","yes","B",""
"2025-11-05 15:00:27","Plate009/011011.zip","Plate003/008020.zip","Plate006/013018.zip","no","",""
"2025-11-05 15:00:30","Plate006/008010.zip","Plate003/009011.zip","Plate005/010017.zip","no","",""
"2025-11-05 15:00:33","Plate005/012016.zip","Plate002/005016.zip","Plate004/014016.zip","no","",""
"2025-11-05 15:00:41","Plate003/003009.zip","Plate006/005017.zip","Plate007/015003.zip","no","",""
"2025-11-05 15:00:46","Plate007/011005.zip","Plate008/002002.zip","Plate007/004023.zip","yes","C",""
"2025-11-05 15:00:50","Plate004/002016.zip","Plate006/016019.zip","Plate006/004019.zip","no","",""
"2025-11-05 15:00:55","Plate001/012009.zip","Plate003/011006.zip","Plate009/010017.zip","no","",""
"2025-11-05 15:00:58","Plate002/012019.zip","Plate004/008007.zip","Plate005/012002.zip","no","",""
"2025-11-05 15:01:04","Plate002/007013.zip","Plate004/001020.zip","Plate003/001009.zip","no","",""
"2025-11-05 15:01:08","Plate007/012017.zip","Plate001/014015.zip","Plate007/010019.zip","no","",""
"2025-11-05 15:01:11","Plate005/004003.zip","Plate002/002008.zip","Plate009/003013.zip","no","",""
"2025-11-05 15:01:14","Plate003/010008.zip","Plate003/010004.zip","Plate009/002003.zip","no","",""
"2025-11-05 15:01:21","Plate006/012024.zip","Plate005/004014.zip","Plate001/011020.zip","yes","both","equal"
"2025-11-05 15:01:25","Plate002/004006.zip","Plate007/015009.zip","Plate007/007008.zip","no","",""
"2025-11-05 15:01:27","Plate006/008007.zip","Plate005/004003.zip","Plate006/013017.zip","no","",""
"2025-11-05 15:01:31","Plate003/011012.zip","Plate009/001010.zip","Plate005/006006.zip","no","",""
"2025-11-05 15:01:34","Plate005/004012.zip","Plate002/007003.zip","Plate002/012018.zip","no","",""
"2025-11-05 15:01:39","Plate007/008008.zip","Plate007/012024.zip","Plate001/015019.zip","yes","B",""
"2025-11-05 15:01:50","Plate008/007009.zip","Plate002/013023.zip","Plate004/010003.zip","yes","both","equal"
"2025-11-05 15:01:56","Plate004/016020.zip","Plate007/008016.zip","Plate009/001001.zip","no","",""
"2025-11-05 15:02:03","Plate006/007013.zip","Plate009/009022.zip","Plate009/003017.zip","no","",""
"2025-11-05 15:02:07","Plate007/014013.zip","Plate003/003012.zip","Plate003/014009.zip","no","",""
"2025-11-05 15:02:10","Plate005/009008.zip","Plate008/010006.zip","Plate003/002024.zip","no","",""
"2025-11-05 15:02:13","Plate006/008009.zip","Plate009/013011.zip","Plate004/001005.zip","no","",""
"2025-11-05 15:02:17","Plate004/010019.zip","Plate002/016018.zip","Plate009/005007.zip","no","",""
"2025-11-05 15:02:24","Plate001/007002.zip","Plate004/007021.zip","Plate009/007024.zip","yes","B",""
"2025-11-05 15:02:28","Plate008/005008.zip","Plate007/016014.zip","Plate002/010018.zip","no","",""
"2025-11-05 15:02:34","Plate004/007001.zip","Plate004/003013.zip","Plate005/013004.zip","yes","both","equal"
"2025-11-05 15:02:39","Plate004/008007.zip","Plate005/015021.zip","Plate004/004008.zip","no","",""
"2025-11-05 15:02:50","Plate001/003019.zip","Plate002/016021.zip","Plate003/015004.zip","yes","both","equal"
"2025-11-05 15:02:58","Plate009/013002.zip","Plate002/002018.zip","Plate004/012019.zip","yes","both","equal"
"2025-11-05 15:03:03","Plate009/012011.zip","Plate008/009010.zip","Plate007/009024.zip","yes","C",""
"2025-11-05 15:03:09","Plate002/001001.zip","Plate007/010023.zip","Plate007/008011.zip","yes","B",""
"2025-11-05 15:03:13","Plate006/013023.zip","Plate003/010020.zip","Plate001/013013.zip","no","",""
"2025-11-05 15:03:17","Plate009/011008.zip","Plate005/012001.zip","Plate001/011008.zip","yes","B",""
"2025-11-05 15:03:20","Plate006/005012.zip","Plate008/005005.zip","Plate003/003006.zip","no","",""
"2025-11-05 15:03:24","Plate008/003009.zip","Plate001/013019.zip","Plate005/011002.zip","yes","C",""
"2025-11-05 15:03:31","Plate003/011017.zip","Plate001/015003.zip","Plate008/013017.zip","no","",""
"2025-11-05 15:03:35","Plate007/006016.zip","Plate004/012005.zip","Plate001/014007.zip","no","",""
"2025-11-05 15:03:41","Plate002/013001.zip","Plate002/009010.zip","Plate004/010001.zip","yes","C",""
"2025-11-05 15:03:44","Plate006/001005.zip","Plate006/001013.zip","Plate008/003007.zip","no","",""
"2025-11-05 15:03:52","Plate001/002007.zip","Plate008/009013.zip","Plate006/012022.zip","no","",""
"2025-11-05 15:03:56","Plate004/002010.zip","Plate007/013007.zip","Plate008/015008.zip","no","",""
"2025-11-05 15:03:59","Plate004/016008.zip","Plate005/005014.zip","Plate002/002003.zip","no","",""
"2025-11-05 15:04:03","Plate006/010020.zip","Plate002/002002.zip","Plate009/011021.zip","no","",""
"2025-11-05 15:04:07","Plate009/013001.zip","Plate006/013003.zip","Plate002/009006.zip","no","",""
"2025-11-05 15:04:10","Plate003/001018.zip","Plate005/007003.zip","Plate007/013021.zip","no","",""
"2025-11-05 15:04:13","Plate004/009013.zip","Plate007/001016.zip","Plate004/015016.zip","no","",""
"2025-11-05 15:04:16","Plate003/001018.zip","Plate008/003021.zip","Plate003/014012.zip","no","",""
"2025-11-05 15:04:19","Plate003/011014.zip","Plate004/015005.zip","Plate006/012011.zip","no","",""
"2025-11-05 15:04:23","Plate004/001020.zip","Plate003/011022.zip","Plate002/002004.zip","no","",""
"2025-11-05 15:04:29","Plate004/008010.zip","Plate005/004002.zip","Plate003/003011.zip","yes","B",""
"2025-11-05 15:04:36","Plate009/007014.zip","Plate006/010011.zip","Plate002/004020.zip","no","",""
"2025-11-05 15:04:39","Plate004/016019.zip","Plate009/007022.zip","Plate005/003020.zip","no","",""
"2025-11-05 15:04:44","Plate006/007009.zip","Plate004/014011.zip","Plate009/011003.zip","no","",""
"2025-11-05 15:04:47","Plate006/005016.zip","Plate007/007022.zip","Plate004/008004.zip","no","",""
"2025-11-05 15:04:51","Plate001/006008.zip","Plate001/001015.zip","Plate003/008009.zip","no","",""
"2025-11-05 15:04:54","Plate009/002020.zip","Plate002/010006.zip","Plate006/016016.zip","no","",""
"2025-11-05 15:04:59","Plate007/003015.zip","Plate009/015010.zip","Plate002/009013.zip","yes","B",""
"2025-11-05 15:05:03","Plate001/003007.zip","Plate007/008013.zip","Plate002/010010.zip","no","",""
"2025-11-05 15:05:07","Plate007/014007.zip","Plate001/013020.zip","Plate004/012021.zip","no","",""
"2025-11-05 15:05:12","Plate007/008003.zip","Plate003/014001.zip","Plate001/003003.zip","yes","B",""
"2025-11-05 15:05:19","Plate006/016021.zip","Plate005/012016.zip","Plate006/010023.zip","yes","C",""
"2025-11-05 15:05:24","Plate003/005009.zip","Plate008/016017.zip","Plate006/005005.zip","no","",""
"2025-11-05 15:05:27","Plate004/008020.zip","Plate006/005015.zip","Plate007/014020.zip","no","",""
"2025-11-05 15:12:04","Plate007/003024.zip","Plate002/011024.zip","Plate006/013022.zip","yes","both","different"
"2025-11-05 15:12:11","Plate009/007008.zip","Plate009/015024.zip","Plate003/007005.zip","yes","B",""
"2025-11-05 15:12:14","Plate005/001011.zip","Plate002/013015.zip","Plate007/001001.zip","no","",""
"2025-11-05 15:12:19","Plate003/005020.zip","Plate004/008007.zip","Plate008/008024.zip","yes","C",""
"2025-11-05 15:12:25","Plate002/016006.zip","Plate009/009003.zip","Plate003/016008.zip","no","",""
"2025-11-05 15:38:29","Plate005/004012.zip","Plate003/016022.zip","Plate004/002015.zip","no","",""
"2025-11-05 15:38:34","Plate002/015004.zip","Plate002/014001.zip","Plate008/005018.zip","yes","B",""
"2025-11-05 15:38:39","Plate002/008021.zip","Plate005/011008.zip","Plate002/009004.zip","no","",""
"2025-11-05 15:38:44","Plate008/001017.zip","Plate008/005018.zip","Plate008/010015.zip","no","",""
"2025-11-05 15:38:47","Plate006/012020.zip","Plate005/015018.zip","Plate003/007010.zip","no","",""
"2025-11-05 15:38:51","Plate002/015005.zip","Plate004/007018.zip","Plate007/012007.zip","no","",""
"2025-11-05 15:38:56","Plate001/014012.zip","Plate003/005020.zip","Plate005/012002.zip","yes","C",""
"2025-11-05 15:39:01","Plate008/002001.zip","Plate001/012023.zip","Plate007/002013.zip","yes","B",""
"2025-11-05 15:39:04","Plate004/001024.zip","Plate006/012005.zip","Plate007/005022.zip","no","",""
"2025-11-05 15:39:17","Plate005/001012.zip","Plate003/003016.zip","Plate005/009010.zip","no","",""
"2025-11-05 15:39:23","Plate005/003002.zip","Plate004/016018.zip","Plate009/012003.zip","yes","both","equal"
"2025-11-05 15:39:39","Plate009/009002.zip","Plate007/012022.zip","Plate006/010016.zip","yes","both","different"
"2025-11-05 15:39:43","Plate003/004019.zip","Plate006/009010.zip","Plate004/009022.zip","no","",""
"2025-11-05 15:39:47","Plate004/011012.zip","Plate002/004004.zip","Plate007/015013.zip","no","",""
"2025-11-05 15:39:54","Plate008/008023.zip","Plate008/010019.zip","Plate009/002001.zip","yes","both","equal"
"2025-11-05 15:40:01","Plate005/010001.zip","Plate004/004014.zip","Plate001/015004.zip","yes","both","equal"
"2025-11-05 15:40:06","Plate001/009016.zip","Plate008/006021.zip","Plate004/005016.zip","no","",""
"2025-11-05 15:40:11","Plate002/002010.zip","Plate004/011008.zip","Plate006/010023.zip","yes","C",""
"2025-11-05 15:40:16","Plate006/013016.zip","Plate002/001016.zip","Plate008/007001.zip","yes","C",""
"2025-11-05 15:40:20","Plate005/013021.zip","Plate007/010015.zip","Plate004/014015.zip","no","",""
"2025-11-05 15:40:24","Plate008/016022.zip","Plate004/008019.zip","Plate007/010003.zip","no","",""
"2025-11-05 15:40:28","Plate007/008014.zip","Plate009/002007.zip","Plate003/010004.zip","no","",""
"2025-11-05 15:40:31","Plate007/014019.zip","Plate007/012017.zip","Plate004/002014.zip","no","",""
"2025-11-05 15:40:34","Plate005/010010.zip","Plate004/008010.zip","Plate006/011022.zip","no","",""
"2025-11-05 15:40:37","Plate004/004022.zip","Plate009/008008.zip","Plate006/008013.zip","no","",""
"2025-11-05 15:40:40","Plate008/001008.zip","Plate005/005010.zip","Plate002/008004.zip","no","",""
"2025-11-05 15:40:43","Plate006/010003.zip","Plate009/002017.zip","Plate006/007018.zip","no","",""
"2025-11-05 15:40:47","Plate001/007011.zip","Plate004/012004.zip","Plate002/001012.zip","no","",""
"2025-11-05 15:40:51","Plate009/013017.zip","Plate008/011021.zip","Plate002/012022.zip","no","",""
"2025-11-05 15:40:54","Plate002/003018.zip","Plate008/006018.zip","Plate002/010019.zip","no","",""
"2025-11-05 15:40:58","Plate001/013024.zip","Plate001/003006.zip","Plate004/004013.zip","no","",""
"2025-11-05 15:41:02","Plate001/001020.zip","Plate003/008021.zip","Plate005/008014.zip","no","",""
"2025-11-05 15:41:05","Plate008/011022.zip","Plate006/005013.zip","Plate006/005012.zip","no","",""
"2025-11-05 15:41:11","Plate001/014001.zip","Plate001/004023.zip","Plate002/003003.zip","yes","C",""
"2025-11-05 15:41:15","Plate006/005012.zip","Plate001/003008.zip","Plate008/006013.zip","no","",""
"2025-11-05 15:41:19","Plate005/013001.zip","Plate006/003005.zip","Plate009/001017.zip","no","",""
"2025-11-05 15:41:22","Plate007/007020.zip","Plate007/007019.zip","Plate003/006003.zip","no","",""
"2025-11-05 15:41:35","Plate003/006015.zip","Plate009/008023.zip","Plate007/006005.zip","yes","B",""
